,unweighted_mean
--,0.7555555555555555
c.W,0.811740890688259
cHH,0.9226190476190477
cHS,0.9739770157100068
cHW,0.9474724194022439
cSS,0.9472526916135938
cSW,0.9861263736263737
cWW,0.9823096259266624
t.H,1.0
t.W,0.8041666666666666
tHH,0.8655045351473922
tHS,0.877827380952381
tHW,0.977852852852853
tSW,0.9216666666666666
tWW,0.9930555555555556
c.S,1.0
c.H,0.82
t.S,1.0
tSS,0.8
