,sampling_method,Average True Precision_0_3,Average True Recall_0_3,Average True F1_0_3,Average False Precision_0_3,Average False Recall_0_3,Average False F1_0_3,Total TP_0_3,Total FP_0_3,Total FN_0_3,Total TN_0_3,Average True Precision_3_5,Average True Recall_3_5,Average True F1_3_5,Average False Precision_3_5,Average False Recall_3_5,Average False F1_3_5,Total TP_3_5,Total FP_3_5,Total FN_3_5,Total TN_3_5
0,RandomUnderSampler1,0.8422521545996234,0.9886438592483213,0.9000778860877712,0.9323511574786566,0.7541428939050036,0.7989859429840409,2178,1069,16,1125,0.7423380195100919,0.5024513363374593,0.5506612120515875,0.5759502614801254,0.754880090083826,0.6209587275885291,63682,47446,35977,52213
1,RandomUnderSampler2,0.8928861379292802,0.9890085864507276,0.9331338196838931,0.9881599712145409,0.849791986162765,0.8887567175962499,2185,784,9,1410,0.7868605774872875,0.45239687156608005,0.5429944292596773,0.6213142416341978,0.8437288804248354,0.6867665625157902,56715,33230,42944,66429
2,NearMiss,0.5669113696082444,0.9805160124635932,0.714243129219702,0.809961318912423,0.21059446337395837,0.289095075264927,2171,1395,23,799,0.5204921803829271,0.8513035494803807,0.6333117697205343,0.5131242657257353,0.17850959016049317,0.20390302865067458,78016,65463,21643,34196
3,CondensedNearestNeighbour,0.9184563439272359,0.9764823589026552,0.9390047876876568,0.9697600633897342,0.8687469576902564,0.8746958815026156,2170,897,24,1297,0.8138649741740654,0.3679876580728256,0.4464285832517779,0.5947117551003364,0.8669051442073594,0.656530849614548,51829,35854,47830,63805
4,TomekLinks,0.9975426567462041,0.9690984731052946,0.9829916004117375,0.9703522812534068,0.9975838149301416,0.9836727394014079,2161,3,33,2191,0.9766842323197423,0.25339899236928876,0.3647618275577392,0.5803511285898306,0.9960837012207742,0.7305661101848715,28045,396,71614,99263
5,SMOTETomek,0.7672449693857658,0.9741182357715851,0.8523525063754326,0.9581760134082858,0.6618314496031412,0.7438991017401072,2160,797,34,1397,0.6722553081125495,0.5794224974996036,0.583625102119257,0.6407566807321403,0.6527848578441484,0.5900188390664088,62255,34202,37404,65457
6,ADASYN,0.7098700009185718,0.9726488945021956,0.8095753048261873,0.8544104227124595,0.5286495267073106,0.6078831268867949,2154,1127,40,1067,0.6255310539792436,0.6020241832652244,0.551187547840767,0.5504103253672561,0.5439217667858799,0.492201409343308,64322,42024,35337,57635
