PDB_ID
6UU9
4TZV
4TZV
5VYC
1QD7
4KZX
4YLO
4YLN
486D
3W1K
4V4Y
1SZ1
1JGP
4TZP
4V4R
4V4G
1JGO
4YLP
5L1Z
3CW1
4KZZ
3E3J
4V42
4V4A
1H1K
4KZY
4V4S
4V4P
4V4T
5UKB
1EMI
6UU5
4V49
