,importance,BasePair
C3'-C3',19,CU
C3'-C5,56,CU
C3'-OP2,16,CU
C3'-C4',55,CU
C3'-P,58,CU
C3'-O2',16,CU
C5-C2',1,CU
C5-O3',9,CU
C5-N1,55,CU
C5-C5',35,CU
C5-O4',73,CU
C5-C4,1,CU
C5-OP1,30,CU
C5-O4,4,CU
C5-C2,73,CU
C5-C1',73,CU
C5-O2,20,CU
C5-N3,72,CU
C5-C6,72,CU
C5-O5',72,CU
C5-C3',55,CU
C5-C5,20,CU
C5-OP2,32,CU
C5-C4',49,CU
C5-P,46,CU
C5-O2',54,CU
OP2-C2',21,CU
OP2-O3',33,CU
OP2-N1,51,CU
OP2-C5',17,CU
OP2-O4',50,CU
OP2-C4,27,CU
OP2-OP1,11,CU
OP2-O4,9,CU
OP2-C2,53,CU
OP2-C1',59,CU
OP2-O2,2,CU
OP2-N3,31,CU
OP2-C6,55,CU
OP2-O5',18,CU
OP2-C3',62,CU
OP2-C5,62,CU
OP2-OP2,15,CU
OP2-C4',24,CU
OP2-P,30,CU
OP2-O2',18,CU
C4'-C2',52,CU
C4'-O3',31,CU
C4'-N1,52,CU
C4'-C5',44,CU
C4'-O4',63,CU
C4'-C4,63,CU
C4'-OP1,63,CU
C4'-O4,44,CU
C4'-C2,3,CU
C4'-C1',4,CU
C4'-O2,70,CU
C4'-N3,57,CU
C4'-C6,41,CU
C4'-O5',28,CU
C4'-C3',58,CU
C4'-C5,64,CU
C4'-OP2,64,CU
C4'-C4',60,CU
C4'-P,47,CU
C4'-O2',47,CU
P-C2',47,CU
P-O3',59,CU
P-N1,21,CU
P-C5',22,CU
P-O4',59,CU
P-C4,47,CU
P-OP1,48,CU
P-O4,5,CU
P-C2,12,CU
P-C1',14,CU
P-O2,53,CU
P-N3,53,CU
P-C6,12,CU
P-O5',31,CU
P-C3',61,CU
P-C5,62,CU
P-OP2,40,CU
P-C4',43,CU
P-P,44,CU
P-O2',12,CU
N4-C2',45,CU
N4-O3',32,CU
N4-N1,35,CU
N4-C5',57,CU
N4-O4',7,CU
N4-C4,63,CU
N4-OP1,64,CU
N4-O4,2,CU
N4-C2,57,CU
N4-C1',29,CU
N4-O2,13,CU
N4-N3,9,CU
N4-C6,39,CU
N4-O5',70,CU
N4-C3',17,CU
N4-C5,58,CU
N4-OP2,23,CU
N4-C4',43,CU
N4-P,5,CU
N4-O2',2,CU
O2'-C2',20,CU
O2'-O3',11,CU
O2'-N1,69,CU
O2'-C5',65,CU
O2'-O4',6,CU
O2'-C4,21,CU
O2'-OP1,71,CU
O2'-O4,47,CU
O2'-C2,70,CU
O2'-C1',22,CU
O2'-O2,29,CU
O2'-N3,72,CU
O2'-C6,37,CU
O2'-O5',24,CU
O2'-C3',46,CU
O2'-C5,35,CU
O2'-OP2,41,CU
O2'-C4',19,CU
O2'-P,6,CU
O2'-O2',74,CU
