,importance,BasePair
O5'-C2',87,CG
O5'-C8,23,CG
O5'-O3',3,CG
O5'-N1,26,CG
O5'-C5',14,CG
O5'-O4',28,CG
O5'-C4,51,CG
O5'-OP1,12,CG
O5'-O6,13,CG
O5'-N9,36,CG
O5'-C2,14,CG
O5'-N2,52,CG
O5'-C1',25,CG
O5'-C6,52,CG
O5'-N3,44,CG
O5'-O5',20,CG
O5'-C3',22,CG
O5'-C5,62,CG
O5'-OP2,14,CG
O5'-N7,68,CG
O5'-C4',69,CG
O5'-P,74,CG
O5'-O2',44,CG
C3'-C2',44,CG
C3'-C8,28,CG
C3'-O3',48,CG
C3'-N1,5,CG
C3'-C5',53,CG
C3'-O4',53,CG
C3'-C4,61,CG
C3'-OP1,61,CG
C3'-O6,29,CG
C3'-N9,55,CG
C3'-C2,72,CG
C3'-N2,62,CG
C3'-C1',70,CG
C3'-C6,28,CG
C3'-N3,55,CG
C3'-O5',57,CG
C3'-C3',11,CG
C3'-C5,57,CG
C3'-OP2,39,CG
C3'-N7,31,CG
C3'-C4',57,CG
C3'-P,63,CG
C3'-O2',33,CG
C5-C2',25,CG
C5-C8,69,CG
C5-O3',68,CG
C5-N1,63,CG
C5-C5',45,CG
C5-O4',68,CG
C5-C4,22,CG
C5-OP1,24,CG
C5-O6,64,CG
C5-N9,18,CG
C5-C2,64,CG
C5-N2,59,CG
C5-C1',34,CG
C5-C6,71,CG
C5-N3,71,CG
C5-O5',8,CG
C5-C3',50,CG
C5-C5,58,CG
C5-OP2,12,CG
C5-N7,73,CG
C5-C4',29,CG
C5-P,17,CG
C5-O2',71,CG
OP2-C2',74,CG
OP2-C8,21,CG
OP2-O3',74,CG
OP2-N1,51,CG
OP2-C5',2,CG
OP2-O4',78,CG
OP2-C4,33,CG
OP2-OP1,28,CG
OP2-O6,10,CG
OP2-N9,36,CG
OP2-C2,4,CG
OP2-N2,13,CG
OP2-C1',78,CG
OP2-C6,7,CG
OP2-N3,72,CG
OP2-O5',70,CG
OP2-C3',61,CG
OP2-C5,38,CG
OP2-OP2,3,CG
OP2-N7,35,CG
OP2-C4',9,CG
OP2-P,49,CG
OP2-O2',31,CG
C4'-C2',49,CG
C4'-C8,24,CG
C4'-O3',19,CG
C4'-N1,48,CG
C4'-C5',47,CG
C4'-O4',38,CG
C4'-C4,44,CG
C4'-OP1,32,CG
C4'-O6,79,CG
C4'-N9,82,CG
C4'-C2,35,CG
C4'-N2,82,CG
C4'-C1',39,CG
C4'-C6,37,CG
C4'-N3,11,CG
C4'-O5',79,CG
C4'-C3',34,CG
C4'-C5,13,CG
C4'-OP2,76,CG
C4'-N7,11,CG
C4'-C4',76,CG
C4'-P,75,CG
C4'-O2',5,CG
P-C2',65,CG
P-C8,59,CG
P-O3',50,CG
P-N1,66,CG
P-C5',60,CG
P-O4',32,CG
P-C4,20,CG
P-OP1,54,CG
P-O6,40,CG
P-N9,44,CG
P-C2,59,CG
P-N2,60,CG
P-C1',46,CG
P-C6,17,CG
P-N3,81,CG
P-O5',61,CG
P-C3',4,CG
P-C5,67,CG
P-OP2,67,CG
P-N7,11,CG
P-C4',62,CG
P-P,38,CG
P-O2',4,CG
N4-C2',12,CG
N4-C8,31,CG
N4-O3',68,CG
N4-N1,68,CG
N4-C5',43,CG
N4-O4',25,CG
N4-C4,71,CG
N4-OP1,17,CG
N4-O6,9,CG
N4-N9,6,CG
N4-C2,14,CG
N4-N2,73,CG
N4-C1',71,CG
N4-C6,46,CG
N4-N3,13,CG
N4-O5',66,CG
N4-C3',20,CG
N4-C5,39,CG
N4-OP2,65,CG
N4-N7,1,CG
N4-C4',19,CG
N4-P,18,CG
N4-O2',11,CG
O2'-C2',78,CG
O2'-C8,52,CG
O2'-O3',52,CG
O2'-N1,53,CG
O2'-C5',54,CG
O2'-O4',38,CG
O2'-C4,6,CG
O2'-OP1,63,CG
O2'-O6,37,CG
O2'-N9,65,CG
O2'-C2,18,CG
O2'-N2,31,CG
O2'-C1',83,CG
O2'-C6,85,CG
O2'-N3,86,CG
O2'-O5',64,CG
O2'-C3',73,CG
O2'-C5,66,CG
O2'-OP2,7,CG
O2'-N7,59,CG
O2'-C4',55,CG
O2'-P,8,CG
O2'-O2',6,CG
