,importance,BasePair
N3-P,87,AC
N3-N4,86,AC
N3-O2',86,AC
O5'-C2',85,AC
O5'-O3',85,AC
O5'-N1,56,AC
O5'-C5',6,AC
O5'-O4',49,AC
O5'-C4,42,AC
O5'-OP1,47,AC
O5'-C2,34,AC
O5'-C1',3,AC
O5'-O2,23,AC
O5'-N3,11,AC
O5'-C6,20,AC
O5'-O5',73,AC
O5'-C3',17,AC
O5'-C5,73,AC
O5'-OP2,44,AC
O5'-C4',52,AC
O5'-P,75,AC
O5'-N4,75,AC
O5'-O2',67,AC
C3'-C2',14,AC
C3'-O3',53,AC
C3'-N1,54,AC
C3'-C5',54,AC
C3'-O4',55,AC
C3'-C4,35,AC
C3'-OP1,14,AC
C3'-C2,78,AC
C3'-C1',58,AC
C3'-O2,63,AC
C3'-N3,63,AC
C3'-C6,65,AC
C3'-O5',65,AC
C3'-C3',73,AC
C3'-C5,65,AC
C3'-OP2,12,AC
C3'-C4',26,AC
C3'-P,13,AC
C3'-N4,63,AC
C3'-O2',18,AC
C5-C2',14,AC
C5-O3',58,AC
C5-N1,58,AC
C5-C5',58,AC
C5-O4',83,AC
C5-C4,57,AC
C5-OP1,74,AC
C5-C2,74,AC
C5-C1',72,AC
C5-O2,7,AC
C5-N3,2,AC
C5-C6,30,AC
C5-O5',72,AC
C5-C3',80,AC
C5-C5,81,AC
C5-OP2,81,AC
C5-C4',10,AC
C5-P,5,AC
C5-N4,4,AC
C5-O2',3,AC
OP2-C2',80,AC
OP2-O3',83,AC
OP2-N1,80,AC
OP2-C5',27,AC
OP2-O4',72,AC
OP2-C4,57,AC
OP2-OP1,71,AC
OP2-C2,71,AC
OP2-C1',71,AC
OP2-O2,18,AC
OP2-N3,57,AC
OP2-C6,57,AC
OP2-O5',62,AC
OP2-C3',22,AC
OP2-C5,31,AC
OP2-OP2,20,AC
OP2-C4',36,AC
OP2-P,62,AC
OP2-N4,16,AC
OP2-O2',13,AC
N7-C2',68,AC
N7-O3',7,AC
N7-N1,13,AC
N7-C5',76,AC
N7-O4',28,AC
N7-C4,76,AC
N7-OP1,36,AC
N7-C2,76,AC
N7-C1',77,AC
N7-O2,35,AC
N7-N3,80,AC
N7-C6,77,AC
N7-O5',6,AC
N7-C3',32,AC
N7-C5,79,AC
N7-OP2,82,AC
N7-C4',6,AC
N7-P,82,AC
N7-N4,4,AC
N7-O2',82,AC
C4'-C2',82,AC
C4'-O3',84,AC
C4'-N1,84,AC
C4'-C5',12,AC
C4'-O4',84,AC
C4'-C4,31,AC
C4'-OP1,79,AC
C4'-C2,79,AC
C4'-C1',69,AC
C4'-O2,69,AC
C4'-N3,68,AC
C4'-C6,27,AC
C4'-O5',68,AC
C4'-C3',83,AC
C4'-C5,62,AC
C4'-OP2,55,AC
C4'-C4',78,AC
C4'-P,78,AC
C4'-N4,79,AC
C4'-O2',75,AC
P-C2',76,AC
P-O3',73,AC
P-N1,35,AC
P-C5',25,AC
P-O4',61,AC
P-C4,66,AC
P-OP1,35,AC
P-C2,53,AC
P-C1',59,AC
P-O2,25,AC
P-N3,51,AC
P-C6,51,AC
P-O5',11,AC
P-C3',61,AC
P-C5,51,AC
P-OP2,48,AC
P-C4',43,AC
P-P,34,AC
P-N4,17,AC
P-O2',21,AC
O2'-C2',48,AC
O2'-O3',46,AC
O2'-N1,21,AC
O2'-C5',46,AC
O2'-O4',34,AC
O2'-C4,9,AC
O2'-OP1,21,AC
O2'-C2,45,AC
O2'-C1',41,AC
O2'-O2,32,AC
O2'-N3,47,AC
O2'-C6,37,AC
O2'-O5',33,AC
O2'-C3',24,AC
O2'-C5,10,AC
O2'-OP2,37,AC
O2'-C4',39,AC
O2'-P,40,AC
O2'-N4,35,AC
O2'-O2',84,AC
