,importance,BasePair
C6-C4',45,GU
C6-P,10,GU
C6-O2',67,GU
N3-C2',53,GU
N3-O3',47,GU
N3-N1,29,GU
N3-C5',69,GU
N3-O4',36,GU
N3-C4,17,GU
N3-OP1,37,GU
N3-O4,48,GU
N3-C2,3,GU
N3-C1',64,GU
N3-O2,64,GU
N3-N3,4,GU
N3-C6,25,GU
N3-O5',23,GU
N3-C3',35,GU
N3-C5,16,GU
N3-OP2,64,GU
N3-C4',53,GU
N3-P,38,GU
N3-O2',60,GU
O5'-C2',71,GU
O5'-O3',23,GU
O5'-N1,61,GU
O5'-C5',72,GU
O5'-O4',75,GU
O5'-C4,34,GU
O5'-OP1,6,GU
O5'-O4,28,GU
O5'-C2,54,GU
O5'-C1',18,GU
O5'-O2,12,GU
O5'-N3,35,GU
O5'-C6,66,GU
O5'-O5',24,GU
O5'-C3',28,GU
O5'-C5,67,GU
O5'-OP2,87,GU
O5'-C4',87,GU
O5'-P,87,GU
O5'-O2',59,GU
C3'-C2',57,GU
C3'-O3',34,GU
C3'-N1,30,GU
C3'-C5',69,GU
C3'-O4',45,GU
C3'-C4,60,GU
C3'-OP1,60,GU
C3'-O4,66,GU
C3'-C2,71,GU
C3'-C1',65,GU
C3'-O2,72,GU
C3'-N3,65,GU
C3'-C6,86,GU
C3'-O5',67,GU
C3'-C3',40,GU
C3'-C5,52,GU
C3'-OP2,62,GU
C3'-C4',39,GU
C3'-P,52,GU
C3'-O2',9,GU
C5-C2',54,GU
C5-O3',90,GU
C5-N1,30,GU
C5-C5',7,GU
C5-O4',19,GU
C5-C4,42,GU
C5-OP1,40,GU
C5-O4,16,GU
C5-C2,38,GU
C5-C1',52,GU
C5-O2,15,GU
C5-N3,55,GU
C5-C6,1,GU
C5-O5',70,GU
C5-C3',70,GU
C5-C5,50,GU
C5-OP2,20,GU
C5-C4',29,GU
C5-P,31,GU
C5-O2',16,GU
OP2-C2',17,GU
OP2-O3',87,GU
OP2-N1,26,GU
OP2-C5',37,GU
OP2-O4',55,GU
OP2-C4,9,GU
OP2-OP1,10,GU
OP2-O4,22,GU
OP2-C2,27,GU
OP2-C1',72,GU
OP2-O2,71,GU
OP2-N3,6,GU
OP2-C6,15,GU
OP2-O5',14,GU
OP2-C3',73,GU
OP2-C5,44,GU
OP2-OP2,30,GU
OP2-C4',19,GU
OP2-P,65,GU
OP2-O2',78,GU
N7-C2',34,GU
N7-O3',78,GU
N7-N1,2,GU
N7-C5',81,GU
N7-O4',46,GU
N7-C4,57,GU
N7-OP1,58,GU
N7-O4,9,GU
N7-C2,28,GU
N7-C1',26,GU
N7-O2,15,GU
N7-N3,5,GU
N7-C6,61,GU
N7-O5',64,GU
N7-C3',11,GU
N7-C5,82,GU
N7-OP2,30,GU
N7-C4',76,GU
N7-P,25,GU
N7-O2',76,GU
C4'-C2',76,GU
C4'-O3',76,GU
C4'-N1,79,GU
C4'-C5',80,GU
C4'-O4',89,GU
C4'-C4,80,GU
