,importance,BasePair
N3-C4',29,AU
N3-P,32,AU
N3-O2',28,AU
O5'-C2',39,AU
O5'-O3',6,AU
O5'-N1,16,AU
O5'-C5',1,AU
O5'-O4',34,AU
O5'-C4,11,AU
O5'-OP1,41,AU
O5'-O4,42,AU
O5'-C2,44,AU
O5'-C1',48,AU
O5'-O2,23,AU
O5'-N3,44,AU
O5'-C6,45,AU
O5'-O5',7,AU
O5'-C3',8,AU
O5'-C5,3,AU
O5'-OP2,46,AU
O5'-C4',46,AU
O5'-P,49,AU
O5'-O2',49,AU
C3'-C2',50,AU
C3'-O3',52,AU
C3'-N1,24,AU
C3'-C5',52,AU
C3'-O4',7,AU
C3'-C4,21,AU
C3'-OP1,52,AU
C3'-O4,52,AU
C3'-C2,25,AU
C3'-C1',51,AU
C3'-O2,51,AU
C3'-N3,51,AU
C3'-C6,23,AU
C3'-O5',51,AU
C3'-C3',50,AU
C3'-C5,50,AU
C3'-OP2,50,AU
C3'-C4',70,AU
C3'-P,23,AU
C3'-O2',49,AU
C5-C2',53,AU
C5-O3',4,AU
C5-N1,18,AU
C5-C5',76,AU
C5-O4',55,AU
C5-C4,11,AU
C5-OP1,8,AU
C5-O4,13,AU
C5-C2,71,AU
C5-C1',55,AU
C5-O2,64,AU
C5-N3,3,AU
C5-C6,1,AU
C5-O5',9,AU
C5-C3',13,AU
C5-C5,24,AU
C5-OP2,65,AU
C5-C4',56,AU
C5-P,22,AU
C5-O2',25,AU
OP2-C2',56,AU
OP2-O3',18,AU
OP2-N1,57,AU
OP2-C5',59,AU
OP2-O4',6,AU
OP2-C4,59,AU
OP2-OP1,79,AU
OP2-O4,78,AU
OP2-C2,60,AU
OP2-C1',60,AU
OP2-O2,61,AU
OP2-N3,7,AU
OP2-C6,9,AU
OP2-O5',61,AU
OP2-C3',62,AU
OP2-C5,63,AU
OP2-OP2,63,AU
OP2-C4',64,AU
OP2-P,65,AU
OP2-O2',15,AU
N7-C2',66,AU
N7-O3',22,AU
N7-N1,66,AU
N7-C5',15,AU
N7-O4',67,AU
N7-C4,12,AU
N7-OP1,9,AU
N7-O4,13,AU
N7-C2,69,AU
N7-C1',69,AU
N7-O2,67,AU
N7-N3,14,AU
N7-C6,13,AU
N7-O5',68,AU
N7-C3',68,AU
N7-C5,12,AU
N7-OP2,68,AU
N7-C4',68,AU
N7-P,15,AU
N7-O2',70,AU
C4'-C2',72,AU
C4'-O3',72,AU
C4'-N1,72,AU
C4'-C5',71,AU
C4'-O4',81,AU
C4'-C4,85,AU
C4'-OP1,8,AU
C4'-O4,85,AU
C4'-C2,77,AU
C4'-C1',77,AU
C4'-O2,80,AU
C4'-N3,77,AU
C4'-C6,7,AU
C4'-O5',75,AU
C4'-C3',70,AU
C4'-C5,73,AU
C4'-OP2,73,AU
C4'-C4',73,AU
C4'-P,20,AU
C4'-O2',20,AU
P-C2',70,AU
P-O3',17,AU
P-N1,66,AU
P-C5',5,AU
P-O4',6,AU
P-C4,59,AU
P-OP1,59,AU
P-O4,56,AU
P-C2,66,AU
P-C1',40,AU
P-O2,40,AU
P-N3,69,AU
P-C6,12,AU
P-O5',58,AU
P-C3',17,AU
P-C5,35,AU
P-OP2,39,AU
P-C4',44,AU
P-P,1,AU
P-O2',58,AU
O2'-C2',63,AU
O2'-O3',19,AU
O2'-N1,64,AU
O2'-C5',44,AU
O2'-O4',20,AU
O2'-C4,46,AU
O2'-OP1,3,AU
O2'-O4,6,AU
O2'-C2,37,AU
O2'-C1',34,AU
O2'-O2,46,AU
O2'-N3,33,AU
O2'-C6,33,AU
O2'-O5',32,AU
O2'-C3',26,AU
O2'-C5,17,AU
O2'-OP2,36,AU
O2'-C4',2,AU
O2'-P,10,AU
O2'-O2',15,AU
