,importance,BasePair
C6-C6,18,AA
C6-N3,17,AA
C6-O5',48,AA
C6-C3',47,AA
C6-C5,93,AA
C6-OP2,19,AA
C6-N7,93,AA
C6-C4',94,AA
C6-P,26,AA
C6-O2',10,AA
N3-C2',94,AA
N3-C8,94,AA
N3-O3',95,AA
N3-N1,95,AA
N3-C5',96,AA
N3-O4',96,AA
N3-C4,3,AA
N3-OP1,97,AA
N3-N9,97,AA
N3-N6,11,AA
N3-C2,97,AA
N3-C1',97,AA
N3-C6,24,AA
N3-N3,14,AA
N3-O5',96,AA
N3-C3',96,AA
N3-C5,95,AA
N3-OP2,95,AA
N3-N7,94,AA
N3-C4',93,AA
N3-P,93,AA
N3-O2',2,AA
O5'-C2',19,AA
O5'-C8,59,AA
O5'-O3',31,AA
O5'-N1,59,AA
O5'-C5',59,AA
O5'-O4',56,AA
O5'-C4,5,AA
O5'-OP1,57,AA
O5'-N9,57,AA
O5'-N6,23,AA
O5'-C2,57,AA
O5'-C1',57,AA
O5'-C6,29,AA
O5'-N3,6,AA
O5'-O5',56,AA
O5'-C3',45,AA
O5'-C5,42,AA
O5'-OP2,16,AA
O5'-N7,59,AA
O5'-C4',53,AA
O5'-P,6,AA
O5'-O2',61,AA
C3'-C2',65,AA
C3'-C8,65,AA
C3'-O3',5,AA
C3'-N1,65,AA
C3'-C5',61,AA
C3'-O4',41,AA
C3'-C4,40,AA
C3'-OP1,68,AA
C3'-N9,68,AA
C3'-N6,17,AA
C3'-C2,12,AA
C3'-C1',43,AA
C3'-C6,14,AA
C3'-N3,55,AA
C3'-O5',55,AA
C3'-C3',55,AA
C3'-C5,55,AA
C3'-OP2,15,AA
C3'-N7,40,AA
C3'-C4',45,AA
C3'-P,46,AA
C3'-O2',27,AA
C5-C2',73,AA
C5-C8,73,AA
C5-O3',73,AA
C5-N1,7,AA
C5-C5',18,AA
C5-O4',12,AA
C5-C4,60,AA
C5-OP1,62,AA
C5-N9,62,AA
C5-N6,20,AA
C5-C2,1,AA
C5-C1',62,AA
C5-C6,1,AA
C5-N3,27,AA
C5-O5',63,AA
C5-C3',66,AA
C5-C5,17,AA
C5-OP2,30,AA
C5-N7,66,AA
C5-C4',19,AA
C5-P,67,AA
C5-O2',69,AA
OP2-C2',69,AA
OP2-C8,8,AA
OP2-O3',70,AA
OP2-N1,9,AA
OP2-C5',71,AA
OP2-O4',71,AA
OP2-C4,23,AA
OP2-OP1,10,AA
OP2-N9,20,AA
OP2-N6,30,AA
OP2-C2,72,AA
OP2-C1',72,AA
OP2-C6,71,AA
OP2-N3,76,AA
OP2-O5',76,AA
OP2-C3',76,AA
OP2-C5,77,AA
OP2-OP2,9,AA
OP2-N7,81,AA
OP2-C4',81,AA
OP2-P,82,AA
OP2-O2',83,AA
N7-C2',89,AA
N7-C8,91,AA
N7-O3',10,AA
N7-N1,28,AA
N7-C5',26,AA
N7-O4',92,AA
N7-C4,31,AA
N7-OP1,92,AA
N7-N9,91,AA
N7-N6,8,AA
N7-C2,7,AA
N7-C1',20,AA
N7-C6,91,AA
N7-N3,90,AA
N7-O5',17,AA
N7-C3',90,AA
N7-C5,89,AA
N7-OP2,84,AA
N7-N7,86,AA
N7-C4',85,AA
N7-P,84,AA
N7-O2',83,AA
C4'-C2',82,AA
C4'-C8,17,AA
C4'-O3',77,AA
C4'-N1,77,AA
C4'-C5',71,AA
C4'-O4',75,AA
C4'-C4,70,AA
C4'-OP1,67,AA
C4'-N9,67,AA
C4'-N6,66,AA
C4'-C2,63,AA
C4'-C1',62,AA
C4'-C6,15,AA
C4'-N3,61,AA
C4'-O5',73,AA
C4'-C3',56,AA
C4'-C5,75,AA
C4'-OP2,71,AA
C4'-N7,30,AA
C4'-C4',24,AA
C4'-P,33,AA
C4'-O2',58,AA
P-C2',49,AA
P-C8,29,AA
P-O3',51,AA
P-N1,13,AA
P-C5',51,AA
P-O4',54,AA
P-C4,79,AA
