,importance,BasePair
O5'-OP2,65,UU
O5'-C4',63,UU
O5'-P,63,UU
O5'-O2',63,UU
C3'-C2',63,UU
C3'-O3',62,UU
C3'-N1,62,UU
C3'-C5',61,UU
C3'-O4',61,UU
C3'-C4,61,UU
C3'-OP1,57,UU
C3'-O4,6,UU
C3'-C2,57,UU
C3'-C1',57,UU
C3'-O2,10,UU
C3'-N3,55,UU
C3'-C6,55,UU
C3'-O5',55,UU
C3'-C3',54,UU
C3'-C5,53,UU
C3'-OP2,53,UU
C3'-C4',53,UU
C3'-P,52,UU
C3'-O2',52,UU
C5-C2',44,UU
C5-O3',18,UU
C5-N1,7,UU
C5-C5',45,UU
C5-O4',45,UU
C5-C4,13,UU
C5-OP1,45,UU
C5-O4,45,UU
C5-C2,9,UU
C5-C1',2,UU
C5-O2,44,UU
C5-N3,1,UU
C5-C6,17,UU
C5-O5',44,UU
C5-C3',11,UU
C5-C5,22,UU
C5-OP2,30,UU
C5-C4',14,UU
C5-P,31,UU
C5-O2',31,UU
OP2-C2',13,UU
OP2-O3',18,UU
OP2-N1,32,UU
OP2-C5',37,UU
OP2-O4',40,UU
OP2-C4,7,UU
OP2-OP1,32,UU
OP2-O4,16,UU
OP2-C2,37,UU
OP2-C1',38,UU
OP2-O2,33,UU
OP2-N3,15,UU
OP2-C6,2,UU
OP2-O5',27,UU
OP2-C3',15,UU
OP2-C5,30,UU
OP2-OP2,19,UU
OP2-C4',23,UU
OP2-P,26,UU
OP2-O2',29,UU
C4'-C2',13,UU
C4'-O3',36,UU
C4'-N1,70,UU
C4'-C5',36,UU
C4'-O4',39,UU
C4'-C4,42,UU
C4'-OP1,49,UU
C4'-O4,5,UU
C4'-C2,49,UU
C4'-C1',46,UU
C4'-O2,43,UU
C4'-N3,47,UU
C4'-C6,48,UU
C4'-O5',48,UU
C4'-C3',47,UU
C4'-C5,47,UU
C4'-OP2,59,UU
C4'-C4',1,UU
C4'-P,59,UU
C4'-O2',60,UU
P-C2',60,UU
P-O3',37,UU
P-N1,36,UU
P-C5',56,UU
P-O4',50,UU
P-C4,50,UU
P-OP1,51,UU
P-O4,50,UU
P-C2,14,UU
P-C1',15,UU
P-O2,31,UU
P-N3,20,UU
P-C6,7,UU
P-O5',40,UU
P-C3',26,UU
P-C5,28,UU
P-OP2,23,UU
P-C4',26,UU
P-P,27,UU
P-O2',19,UU
O2'-C2',21,UU
O2'-O3',29,UU
O2'-N1,29,UU
O2'-C5',31,UU
O2'-O4',33,UU
O2'-C4,14,UU
O2'-OP1,2,UU
O2'-O4,42,UU
O2'-C2,43,UU
O2'-C1',46,UU
O2'-O2,47,UU
O2'-N3,48,UU
O2'-C6,49,UU
O2'-O5',50,UU
O2'-C3',51,UU
O2'-C5,56,UU
O2'-OP2,59,UU
O2'-C4',60,UU
O2'-P,64,UU
O2'-O2',70,UU
