,C2'-C2',O3'-C4',C4-C5,C2-C6,N4-N7
C2'-C2',1.0,0.8731206473376246,0.6919937738587116,0.7108497260980048,0.6296819031855682
O3'-C4',0.8731206473376246,1.0,0.40289630943650423,0.401284667449894,0.35883389391276943
C4-C5,0.6919937738587116,0.40289630943650423,1.0,0.9732452337971814,0.9873879035264724
C2-C6,0.7108497260980048,0.401284667449894,0.9732452337971814,1.0,0.9356714139909449
N4-N7,0.6296819031855682,0.35883389391276943,0.9873879035264724,0.9356714139909449,1.0
