,N1-N3,C4-C2,N6-N1,N6-O2',N3-C2
N1-N3,1.0,0.9609872636985352,0.9519118436959232,0.8352283276265225,0.9614842160828773
C4-C2,0.9609872636985352,1.0,0.9257363131313932,0.8525716682879214,0.9894290004319799
N6-N1,0.9519118436959232,0.9257363131313932,1.0,0.9263104437568821,0.8990950422225543
N6-O2',0.8352283276265225,0.8525716682879214,0.9263104437568821,1.0,0.8293837260728077
N3-C2,0.9614842160828773,0.9894290004319799,0.8990950422225543,0.8293837260728077,1.0
