,N1-C2,C4-C2,N3-N3,C5-N3,C4'-C4'
N1-C2,1.0,0.9510058682994875,0.9546628344017142,0.9480089648680511,0.6730857653934644
C4-C2,0.9510058682994875,1.0,0.9815033063658766,0.9810080171499059,0.5094870976714657
N3-N3,0.9546628344017142,0.9815033063658766,1.0,0.9739399782024956,0.47104654504781024
C5-N3,0.9480089648680511,0.9810080171499059,0.9739399782024956,1.0,0.4945259196892342
C4'-C4',0.6730857653934644,0.5094870976714657,0.47104654504781024,0.4945259196892342,1.0
