,C4-C4,C1'-O2,C3'-C5',C4'-C4',N4-N4
C4-C4,1.0,0.8115369193982152,0.5250521515433836,0.4867800206498854,0.9896531247763437
C1'-O2,0.8115369193982152,1.0,0.6617883962735707,0.7437899650367242,0.7338065837727955
C3'-C5',0.5250521515433836,0.6617883962735707,1.0,0.9550933484466173,0.4268670316228943
C4'-C4',0.4867800206498854,0.7437899650367242,0.9550933484466173,1.0,0.3733808614369113
N4-N4,0.9896531247763437,0.7338065837727955,0.4268670316228943,0.3733808614369113,1.0
