,C4-N2,N9-C5,C2-N9,C6-C2,C5-N2
C4-N2,1.0,0.9091172844509632,0.8737257087866127,0.9658458877292239,0.9903785253937483
N9-C5,0.9091172844509632,1.0,0.9036848301208145,0.9127331859097685,0.9017156292205908
C2-N9,0.8737257087866127,0.9036848301208145,1.0,0.9105540016206513,0.8629001028972203
C6-C2,0.9658458877292239,0.9127331859097685,0.9105540016206513,1.0,0.9836059763363963
C5-N2,0.9903785253937483,0.9017156292205908,0.8629001028972203,0.9836059763363963,1.0
