,C4-N1,C1'-O4',O5'-C5',C5-C6,P-P
C4-N1,1.0,0.8832303728411235,0.54771928598806,0.9757487654426764,0.40450999459707515
C1'-O4',0.8832303728411235,1.0,0.7928626332035809,0.8180665472669443,0.6112740064346466
O5'-C5',0.54771928598806,0.7928626332035809,1.0,0.5310664365365513,0.9326656332377552
C5-C6,0.9757487654426764,0.8180665472669443,0.5310664365365513,1.0,0.44129427534677373
P-P,0.40450999459707515,0.6112740064346466,0.9326656332377552,0.44129427534677373,1.0
