,N1-C2,O4'-O5',C2-C2,C5-C5,O2'-C5'
N1-C2,1.0,0.45632644736245537,0.9910759570409109,0.951965477675754,0.48527534908480474
O4'-O5',0.45632644736245537,1.0,0.4865971250139649,0.5946089514012737,0.9298281611083882
C2-C2,0.9910759570409109,0.4865971250139649,1.0,0.935551547612602,0.5314525263713195
C5-C5,0.951965477675754,0.5946089514012737,0.935551547612602,1.0,0.572312515234656
O2'-C5',0.48527534908480474,0.9298281611083882,0.5314525263713195,0.572312515234656,1.0
