,C8-C4,C2-N3,N2-N3,C5-C6,C4'-C5
C8-C4,1.0,0.9076264814683342,0.8600313704967585,0.9521879201183584,0.8568272247020841
C2-N3,0.9076264814683342,1.0,0.9935034397322987,0.9340064099485718,0.7126283597464845
N2-N3,0.8600313704967585,0.9935034397322987,1.0,0.9009104731676201,0.6765737583904675
C5-C6,0.9521879201183584,0.9340064099485718,0.9009104731676201,1.0,0.7851607370059013
C4'-C5,0.8568272247020841,0.7126283597464845,0.6765737583904675,0.7851607370059013,1.0
