,O3'-O4,N1-C2,C1'-O4,C5-C2',C5-C4
O3'-O4,1.0,0.7623805917802943,0.9017651824643994,0.5319044003737335,0.7600390405426687
N1-C2,0.7623805917802943,1.0,0.9134317069485917,0.8830381044520189,0.9270319476526243
C1'-O4,0.9017651824643994,0.9134317069485917,1.0,0.687913834313109,0.9175213728986712
C5-C2',0.5319044003737335,0.8830381044520189,0.687913834313109,1.0,0.8280105863900816
C5-C4,0.7600390405426687,0.9270319476526243,0.9175213728986712,0.8280105863900816,1.0
