,C4-N1,C4-C4,C6-N6,C5-C2,C5-C6
C4-N1,1.0,0.9656508923051493,0.9493604908919947,0.9824403822168375,0.979542171953364
C4-C4,0.9656508923051493,1.0,0.9125342054093515,0.9639346863383245,0.9583522480528066
C6-N6,0.9493604908919947,0.9125342054093515,1.0,0.9347295115376406,0.9855933189215995
C5-C2,0.9824403822168375,0.9639346863383245,0.9347295115376406,1.0,0.9719732735079059
C5-C6,0.979542171953364,0.9583522480528066,0.9855933189215995,0.9719732735079059,1.0
